1211,472
1248,429
1279,530
1264,532
1209,475
1183,419
1215,403
1246,429
1212,472
1149,529
1136,480
1181,420
1210,474
1149,528
1152,579
1267,532
1131,565
1150,530
1138,480
1110,516
1131,564
1088,563
1049,535
1105,515
1133,562
1085,563
1095,625
1128,587
1131,563
1150,527
1153,579
1126,587
1005,614
1087,563
1051,536
989,562
1005,612
938,643
944,676
1003,630
1004,613
1085,562
1097,625
1003,632
1003,612
938,644
932,614
991,559
1051,470
972,472
930,554
989,561
1049,471
1097,411
1111,515
1052,536
1050,469
1109,378
1078,332
1037,418
1051,470
972,473
955,420
1040,417
1051,469
976,472
992,561
1055,535
914,503
976,473
930,554
858,603
912,504
853,529
852,443
895,451
912,504
977,473
957,415
892,447
913,505
855,527
796,598
860,602
871,635
933,615
929,552
858,603
935,616
871,636
885,662
942,674
932,616
990,561
931,555
932,594
1096,626
1001,631
943,676
996,674
1095,626
1151,578
1114,656
997,674
1094,626
1150,576
1130,583
1130,563
1150,579
1236,545
1225,581
1164,615
1150,576
1115,653
1166,617
1153,575
1111,517
1139,474
1125,413
1097,415
1141,475
1181,419
1126,412
1140,475
1025,310
1078,331
1038,417
957,418
1025,308
984,311
893,451
960,418
948,340
850,446
891,453
982,313
852,445
810,469
774,572
854,530
855,444
809,470
786,409
836,386
854,442
950,338
929,320
833,389
739,425
787,413
809,469
699,516
741,425
660,441
651,378
713,363
739,424
788,413
793,353
712,363
740,423
659,441
651,515
701,515
859,355
793,357
787,412
838,387
859,355
947,278
906,271
856,315
859,354
790,353
766,310
855,314
856,357
951,279
927,320
835,388
713,303
769,312
792,354
717,363
712,303
651,277
652,379
717,363
710,301
771,311
793,212
734,212
713,303
653,275
674,247
736,212
849,264
795,213
783,187
849,213
849,266
906,271
939,278
856,312
850,262
795,215
771,310
855,315
852,264
904,270
867,233
847,212
792,211
736,214
740,150
784,189
734,213
675,247
678,233
739,154
702,517
809,470
775,573
738,551
796,597
851,530
778,571
783,583
588,473
655,378
653,277
575,334
585,477
520,518
492,523
526,442
586,474
661,443
653,515
583,529
590,471
525,443
558,313
578,334
586,474
662,445
657,375
584,426
589,475
521,519
583,527
585,507
467,418
527,445
559,314
496,289
469,419
401,411
385,492
492,525
466,418
401,411
405,349
495,288
466,415
525,441
491,525
448,472
337,359
407,351
427,278
359,279
336,358
286,324
223,349
277,403
335,359
406,352
330,422
274,399
339,359
288,323
313,267
361,279
404,351
493,288
426,278
335,359
337,359
406,351
428,279
356,278
314,443
403,409
407,353
326,420
315,446
214,474
239,494
302,492
316,445
403,406
384,494
303,492
314,446
213,473
283,400
330,421
378,550
473,548
491,525
384,494
376,548
290,566
273,588
347,586
381,548
290,565
300,489
383,489
379,550
472,546
438,620
348,587
525,440
586,470
584,531
520,519
348,587
273,588
268,618
323,640
349,587
438,623
393,648
323,640
215,540
290,563
302,489
238,495
213,539
289,564
278,589
214,581
215,581
275,589
268,616
230,604
233,290
316,269
288,324
223,352
236,289
136,341
152,283
231,241
236,289
139,342
115,437
221,351
237,288
316,269
233,238
230,242
1,318
150,285
140,343
50,395
150,285
230,239
196,228
19,230
146,286
0,314
0,224
24,230
213,471
284,398
224,351
174,430
113,436
174,428
225,350
162,399
113,437
223,351
139,340
53,392
515,761
555,726
586,755
566,758
515,759
557,725
530,697
471,700
527,697
471,699
538,664
557,679
574,648
565,673
555,678
539,664
639,759
647,737
621,739
608,764
641,759
693,761
702,742
648,737
692,760
719,761
702,743
675,759
238,716
259,690
231,660
227,673
259,691
239,714
246,766
278,763
238,715
198,711
197,768
247,768
197,710
198,768
146,705
187,710
233,660
244,646
257,689
242,672
817,758
858,705
822,756
814,759
815,758
778,709
784,707
866,694
777,709
747,708
742,755
814,759
779,705
762,638
787,660
782,704
778,708
749,706
763,638
778,696
763,639
771,638
787,659
770,663
905,761
900,736
935,717
950,740
939,717
949,741
1005,747
1023,737
950,742
909,759
948,760
969,762
950,739
1006,746
1007,759
974,762
1006,746
1024,738
1022,758
1007,760
898,756
899,736
867,735
860,754
865,735
940,715
902,738
866,737

